# SwiftEEG raw counts,rate=1000,gain=24,lsb_uv=0.022351742
ts_us,seq,ch1_C4,ch2_P4,ch3_F4,ch4_Oz,ch5_AFz,ch6_F3,ch7_C3,ch8_P3
2103320467,2045601,-4541931,3991294,-5083528,3704279,-6161763,-7433116,-6771108,-6943169
2103320468,2045602,-4540846,3992825,-5082764,3733397,-6161120,-7433697,-6781396,-6947712
2103320469,2045603,-4540581,3993030,-5082466,3737252,-6160802,-7434064,-6788034,-6950365
2103320470,2045604,-4541206,3994039,-5082840,3738664,-6161171,-7434757,-6793567,-6952957
2103320471,2045605,-4542287,3995622,-5083520,3739904,-6161957,-7435581,-6798624,-6955679
2103320472,2045606,-4543739,3997618,-5084494,3740324,-6163109,-7436640,-6803534,-6958642
2103320473,2045607,-4545411,4000001,-5085621,3740594,-6164630,-7437754,-6808279,-6961749
2103320474,2045608,-4548695,4004578,-5087939,3741861,-6167842,-7439566,-6813736,-6966316
2103320475,2045609,-4553651,4010328,-5091441,3734224,-6172427,-7441816,-6817997,-6971384
2103320476,2045610,-4558032,4012474,-5094374,3698504,-6175924,-7442642,-6812115,-6970652
2103320477,2045611,-4561069,4014440,-5096518,3682487,-6178407,-7443080,-6804422,-6968825
2103320478,2045612,-4562408,4015845,-5097551,3681145,-6179730,-7443312,-6799954,-6968049
2103320479,2045613,-4562727,4015990,-5097832,3679131,-6180111,-7443164,-6796127,-6966938
2103320480,2045614,-4562391,4015189,-5097667,3676976,-6179793,-7442807,-6792602,-6965476
2103320481,2045615,-4561445,4013551,-5097042,3675063,-6178766,-7442129,-6789052,-6963508
2103320482,2045616,-4560160,4011526,-5096172,3674158,-6177364,-7441228,-6785431,-6961165
2103320483,2045617,-4558284,4008891,-5094807,3673919,-6175457,-7439942,-6781470,-6958224
2103320484,2045618,-4554999,4004481,-5092357,3672318,-6172431,-7438214,-6776924,-6953926
2103320485,2045619,-4550169,3998249,-5088840,3668474,-6168071,-7435882,-6771377,-6947854
2103320486,2045620,-4545627,3992917,-5085827,3672118,-6163791,-7433587,-6766376,-6942069
2103320487,2045621,-4542851,3992492,-5083941,3704773,-6161501,-7432959,-6770224,-6942352
2103320488,2045622,-4541831,3994122,-5083253,3734388,-6160934,-7433626,-6780633,-6946990
2103320489,2045623,-4541595,3994373,-5083009,3738409,-6160654,-7434034,-6787361,-6949702
